74,74,,"04/05/12","07/05/12","04:59:43 AM","04:58:57 AM","N         ","TRUE","12:00:00 AM",3,19,4,19,1,,2,13920,0,"Y",,,,74,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
75,75,,"04/05/12","06/05/12","12:03:48 PM","12:00:00 AM","N         ","TRUE","12:00:00 AM",2,17,4,17,1,,2,13920,10000,"Y",,,,75,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
76,76,,"07/05/12","08/05/12","12:34:07 PM","12:31:45 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,1,6960,6960,"Y",,,,76,1,,,,6000,"          ","CREDITCARD",,"          ",,"Y",,"N",0,,
77,77,,"08/05/12","08/05/12","09:28:06 AM","09:27:49 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,3480,3500,"Y",,,,77,1,,,,3000,"Y      ","          ",,"          ",,"Y",,"N",0,,
78,78,,"08/05/12","10/05/12","01:58:13 PM","01:55:38 PM","N         ","TRUE","12:00:00 AM",2,17,4,17,1,,1,13920,24600,"Y",,,,78,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
79,79,,"08/05/12","10/05/12","02:00:04 PM","01:58:32 PM","N         ","TRUE","12:00:00 AM",2,53,5,53,1,,1,13920,0,"Y",,,,79,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
80,80,,"08/05/12","19/05/2012","01:33:39 PM","03:00:00 PM","N         ","TRUE","12:00:00 AM",11,17,4,17,1,,1,11000,1500,"Y",,,,80,1,,,,9483,"Y      ","          ",,"          ",,"Y",,"N",0,,
81,81,,"08/05/12","09/05/12","08:20:36 AM","08:16:38 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,8120,8500,"Y",,,,81,1,,,,7000,"Y      ","          ",,"          ","THEY NEED DROP SERVICE TO US EMBASSY              ","Y",,"N",0,,
82,82,,"08/05/12","09/05/12","07:33:48 PM","07:31:11 PM","N         ","TRUE","12:00:00 AM",3,56,5,56,1,,2,24360,20000,"Y",,,,82,1,,,,7000,"Y      ","          ",,"          ",,"Y",,"N",0,,
83,83,,"08/05/12","09/05/12","09:53:58 AM","09:50:21 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,3,9280,10000,"Y",,,,83,1,,,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
84,84,,"08/05/12","10/05/12","10:06:40 AM","10:03:02 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,5500,5000,"Y",,,,84,1,,,,4741,"Y      ","          ",,"          ",,"Y",,"N",0,,
85,85,,"09/05/12","09/05/12","08:57:33 AM","08:55:02 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,5800,5000,"Y",,,,85,1,,,,5000,"Y      ","          ",,"          ",,"Y",,"N",0,,
86,86,,"09/05/11","10/05/12","07:24:04 PM","07:18:28 PM","N         ","TRUE","12:00:00 AM",1,19,4,19,1,,2,9280,10000,"Y",,,,86,1,,,,9280,"Y      ","          ",,"          ",,"N",,"N",0,,
87,87,,"09/05/11","10/05/12","09:34:35 PM","09:32:04 PM","N         ","TRUE","12:00:00 AM",1,56,5,56,1,,1,6960,7000,"Y",,,,87,1,,,,6960,"Y      ","          ",,"          ","GUEST CHK IN BY THE REFERENCE OF M.D SIR          ","N",,"N",0,,
